STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,Measurement Flag,Quality Flag,Number of Days,Units,MXSD,Measurement Flag,Quality Flag,Number of Days,Units,DSNW,Measurement Flag,Quality Flag,Number of Days,Units,TPCP,Measurement Flag,Quality Flag,Number of Days,Units,TSNW,Measurement Flag,Quality Flag,Number of Days,Units
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197603,101, , ,04,HI,76,+, ,26,I,31, , ,00,NA,380, , ,00,HI,755, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197604,168, , ,26,HI,79, , ,02,I,30, , ,00,NA,547, , ,00,HI,406, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197605,30, , ,26,HI,34, , ,01,I,12, , ,00,NA,253, , ,00,HI,0,T, ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197606,35, , ,17,HI,0, , ,99,I,0, , ,00,NA,100, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197607,80, , ,22,HI,0, , ,99,I,0, , ,00,NA,187, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197608,63, , ,07,HI,0, , ,99,I,0, , ,00,NA,303, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197609,259, , ,15,HI,0, , ,99,I,0, , ,00,NA,1258, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197610,191, , ,17,HI,11, , ,29,I,7, , ,00,NA,953, , ,00,HI,258, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197611,393, , ,30,HI,15, , ,27,I,30, , ,00,NA,2059, , ,00,HI,447, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197612,125, , ,03,HI,58, , ,20,I,31, , ,00,NA,829, , ,00,HI,1015, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197701,205,+, ,24,HI,50, , ,04,I,31, , ,00,NA,1176, , ,00,HI,540, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197702,215, , ,01,HI,61, , ,01,I,28, , ,00,NA,795, , ,00,HI,262, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197703,68, , ,29,HI,72,+, ,18,I,31, , ,00,NA,345, , ,00,HI,529, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197704,192, , ,03,HI,81,+, ,05,I,30, , ,00,NA,811, , ,00,HI,714, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197705,56, , ,06,HI,51, , ,01,I,20, , ,00,NA,289, , ,00,HI,28, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197706,56, , ,20,HI,0, , ,99,I,0, , ,00,NA,181, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197707,58, , ,19,HI,0, , ,99,I,0, , ,00,NA,224, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197708,60, , ,10,HI,0, , ,99,I,0, , ,00,NA,250, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197709,171, , ,07,HI,0, , ,99,I,0, , ,00,NA,1253, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197710,89, , ,15,HI,0,T,+,31,I,0, , ,00,NA,581, , ,00,HI,6, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197711,25, , ,12,HI,7, , ,28,I,27, , ,00,NA,70, , ,00,HI,175, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197712,157, , ,26,HI,34, , ,27,I,26, , ,00,NA,266, , ,00,HI,412, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197801,75, , ,09,HI,32, , ,19,I,31, , ,00,NA,418, , ,00,HI,324, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197802,154, , ,05,HI,58, , ,08,I,28, , ,00,NA,618, , ,00,HI,759, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197803,56, , ,19,HI,42,+, ,20,I,31, , ,00,NA,214, , ,00,HI,278, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197804,37, , ,08,HI,35, , ,01,I,26, , ,00,NA,125, , ,00,HI,7, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197805,40, , ,02,HI,0, , ,99,I,0, , ,00,NA,214, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197806,83, , ,16,HI,0, , ,99,I,0, , ,00,NA,328, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197807,61, , ,21,HI,0, , ,99,I,0, , ,00,NA,381, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197808,43,+, ,16,HI,0, , ,99,I,0, , ,00,NA,217, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197809,97, , ,12,HI,0, , ,99,I,0, , ,00,NA,494, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197810,146, , ,17,HI,3, , ,24,I,7, , ,00,NA,1538, , ,00,HI,198, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197811,89, , ,21,HI,17, , ,26,I,30, , ,00,NA,327, , ,00,HI,280, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197812,82, , ,17,HI,49, , ,18,I,31, , ,00,NA,607, , ,00,HI,822, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197901,80, , ,16,HI,53, , ,23,I,31, , ,00,NA,266, , ,00,HI,456, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197902,28,+, ,04,HI,45, , ,02,I,28, , ,00,NA,100, , ,00,HI,121, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197903,172, , ,19,HI,60, , ,21,I,31, , ,00,NA,999, , ,00,HI,1126, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197904,60, , ,04,HI,53, , ,05,I,30, , ,00,NA,109, , ,00,HI,120, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197905,22, , ,23,HI,7, , ,01,I,3, , ,00,NA,109, , ,00,HI,0,T, ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197906,118, , ,25,HI,0, , ,99,I,0, , ,00,NA,291, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197907,125, , ,14,HI,0, , ,99,I,0, , ,00,NA,604, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197908,109, , ,15,HI,0, , ,99,I,0, , ,00,NA,620, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197909,123, , ,23,HI,0, , ,99,I,0, , ,00,NA,805, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197910,253, , ,30,HI,0, , ,99,I,0, , ,00,NA,1543, , ,00,HI,0,T, ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197911,167, , ,11,HI,13, , ,28,I,14, , ,00,NA,1382, , ,00,HI,318, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,197912,75, , ,04,HI,43, , ,05,I,31, , ,00,NA,514, , ,00,HI,1055, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,198001,248, , ,21,HI,33, , ,05,I,31, , ,00,NA,856, , ,00,HI,373, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,198002,168, , ,04,HI,55, , ,10,I,29, , ,00,NA,964, , ,00,HI,865, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,198003,65, , ,31,HI,45,+, ,21,I,31, , ,00,NA,327, , ,00,HI,364, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,198004,65, , ,02,HI,37, , ,04,I,28, , ,00,NA,290, , ,00,HI,39, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,198005,59, , ,30,HI,0, , ,99,I,0, , ,00,NA,332, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,198006,92, , ,17,HI,0, , ,99,I,0, , ,00,NA,322, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,11.3,61.13333,-146.35,198007,124, , ,28,HI,0, , ,99,I,0, , ,00,NA,770, , ,00,HI,0, , ,00,TI
